User_ID,Job_ID,User_Skills,Job_Requirements,Match_Score,Recommended
1,16,"Python, C++, Machine Learning","SQL, CSS, AI, JavaScript, Data Science",0.620420628,0
2,30,"AI, Python, Data Science","AI, Data Science, SQL, Python, CSS",0.823451061,1
3,319,"CSS, Python, Machine Learning","SQL, AI, Python",0.703829684,0
4,399,"SQL, Machine Learning, C++","Java, AI, Python, Data Science, Machine Learning",0.224724411,0
5,405,"Machine Learning, HTML, JavaScript","Machine Learning, C++",0.296453245,0
6,66,"Java, Data Science","HTML, CSS, Python, Machine Learning",0.674308906,0
7,157,"AI, Python, HTML, JavaScript","Java, JavaScript, SQL",0.914254078,1
8,53,"Java, Data Science","Python, HTML, CSS, SQL, JavaScript",0.138535812,0
9,247,"SQL, Machine Learning, Java, HTML","Python, C++, AI",0.544927116,0
10,68,"SQL, Machine Learning, AI, C++","C++, Machine Learning, Python",0.709690542,0
11,440,"JavaScript, Machine Learning","HTML, AI, CSS, Python, Machine Learning",0.555503713,0
12,95,"Java, C++, Python, Data Science","SQL, CSS",0.337309909,0
13,157,"HTML, Data Science, Java, Machine Learning, C++","Python, Java",0.812377687,1
14,132,"Machine Learning, C++","JavaScript, HTML",0.888950672,1
15,413,"SQL, Python, CSS, AI","C++, Python, AI, Machine Learning",0.146152717,0
16,62,"HTML, C++, CSS","Data Science, HTML, C++, SQL",0.872648996,1
17,311,"SQL, AI","Data Science, Java, CSS, Machine Learning, JavaScript",0.035162145,0
18,248,"AI, SQL","HTML, Machine Learning, JavaScript",0.836816504,1
19,276,"Python, C++, AI, Machine Learning","CSS, HTML, JavaScript, SQL, Java",0.315056809,0
20,430,"Java, JavaScript, C++, Python","JavaScript, Python, Data Science",0.512374138,0
21,308,"Machine Learning, Data Science, SQL","JavaScript, Java, HTML",0.837509636,1
22,271,"JavaScript, SQL, Machine Learning","HTML, SQL, Data Science",0.269972194,0
23,224,"C++, Java, HTML","Python, Data Science, Machine Learning, HTML",0.531296017,0
24,1,"SQL, Machine Learning, Java, C++, AI","Machine Learning, C++, Python",0.293643792,0
25,7,"Machine Learning, Data Science, AI","C++, Python, SQL, Machine Learning, Java",0.548795086,0
26,352,"CSS, JavaScript","Data Science, JavaScript, Machine Learning, AI, Java",0.669403359,0
27,169,"JavaScript, Java, Python, C++, SQL","HTML, JavaScript",0.72896365,0
28,459,"C++, HTML, Python","C++, AI, Data Science, Java",0.646410656,0
29,376,"CSS, Python","Machine Learning, CSS, Java, HTML",0.650009546,0
30,408,"JavaScript, Python, CSS, SQL","AI, Python",0.620779552,0
31,461,"Java, CSS","HTML, JavaScript, AI",0.954661008,1
32,475,"AI, JavaScript","CSS, Java",0.408083392,0
33,336,"Java, C++, JavaScript, HTML","Python, CSS",0.032954315,0
34,374,"Java, C++, CSS, Machine Learning, SQL","HTML, Machine Learning, Data Science, Java, Python",0.77543879,0
35,242,"AI, HTML, C++, Python","Java, Machine Learning",0.386423174,0
36,224,"AI, Data Science, SQL","CSS, AI, HTML, Data Science",0.554249948,0
37,472,"JavaScript, Java","Data Science, AI",0.320784625,0
38,399,"HTML, Java, SQL, CSS, JavaScript","C++, HTML",0.698153202,0
39,215,"Python, JavaScript, CSS","Java, CSS, Machine Learning, Python, JavaScript",0.062908978,0
40,262,"Data Science, Java","HTML, SQL",0.329358286,0
41,304,"Machine Learning, Java, SQL, CSS","C++, JavaScript, Machine Learning, HTML, CSS",0.188888913,0
42,340,"CSS, SQL, Data Science, Java, HTML","Machine Learning, AI, SQL, CSS",0.145919772,0
43,465,"AI, JavaScript, Python, CSS, C++","Data Science, C++, HTML, JavaScript, Python",0.196423387,0
44,43,"Java, Python, CSS, SQL","HTML, C++, JavaScript, Machine Learning",0.831134678,1
45,423,"C++, Machine Learning, AI","SQL, HTML, CSS",0.34551981,0
46,163,"SQL, JavaScript, Data Science","C++, JavaScript, AI, CSS",0.462689867,0
47,361,"C++, HTML, Data Science","Java, SQL",0.39873469,0
